plot_code,province,area_rai,month,qa,analysis_mode,coverage_pct,scenes_used,scene_ids,green_observed_rai,yellow_observed_rai,red_observed_rai,water_observed_rai,unknown_observed_rai,green_rai,yellow_rai,red_rai,mean_fcd_score
88-VSD,ปัตตานี,257.66,2026-08,LOW_QA,single_scene_partial,32.27,1,['S2C_MSIL2A_20260805T032521_R018_T47NQH_20260805T083109'],32.8874,50.2065,0.0,0.0625,174.5035,,,,39.6941
89-VSD,ปัตตานี,25.72,2024-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20240323T032519_R018_T47NQH_20240323T080736'],20.785,4.935,0.0,0.0,0.0,20.6953,4.9137,0.0,58.665
89-VSD,ปัตตานี,25.72,2025-03,GOOD,single_scene_good,99.77,1,['S2C_MSIL2A_20250303T032701_R018_T47NQH_20250303T084755'],22.1204,3.5416,0.0,0.0,0.0581,22.0747,3.5343,0.0,61.2002
89-VSD,ปัตตานี,25.72,2026-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20260303T032539_R018_T47NQH_20260303T085226'],7.7218,17.9982,0.0,0.0,0.0,7.6885,17.9205,0.0,43.674
89-VSD,ปัตตานี,25.72,2026-08,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20260805T032521_R018_T47NQH_20260805T083109'],24.5008,1.2192,0.0,0.0,0.0,24.395,1.214,0.0,69.3526
90-VSD,ปัตตานี,22.42,2024-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20240323T032519_R018_T47NQH_20240323T080736'],14.9053,7.08,0.0,0.4347,0.0,15.1344,7.1888,0.0,58.2935
90-VSD,ปัตตานี,22.42,2025-03,GOOD,single_scene_good,98.34,1,['S2C_MSIL2A_20250323T032541_R018_T47NQH_20250323T091110'],0.1242,20.4947,0.0,1.4284,0.3726,0.1345,22.1887,0.0,12.2104
90-VSD,ปัตตานี,22.42,2026-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20260303T032539_R018_T47NQH_20260303T085226'],18.4453,3.9126,0.0,0.0621,0.0,18.4167,3.9066,0.0,65.5513
90-VSD,ปัตตานี,22.42,2026-08,PARTIAL,single_scene_partial,76.73,1,['S2C_MSIL2A_20260805T032521_R018_T47NQH_20260805T083109'],10.4958,6.6453,0.0,0.0621,5.2168,,,,50.8997
93-VSD,ปัตตานี,82.63,2024-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20240323T032519_R018_T47NQH_20240323T080736'],62.1283,20.5017,0.0,0.0,0.0,61.8601,20.4132,0.0,54.5993
93-VSD,ปัตตานี,82.63,2025-03,GOOD,single_scene_good,100.0,1,['S2A_MSIL2A_20250325T033151_R018_T47NQH_20250325T111922'],49.3537,33.2763,0.0,0.0,0.0,49.1406,33.1327,0.0,49.0521
